recognition,再認
perception,知覚
auditory,聴覚
inhibition,抑制
duration,持続時間
adaptation,適応
implicit,潜在的な
explicit,顕在的な
representation,表象
short-term memory,短期記憶
induction,帰納法
rehearsal,リハーサル
retrieve,検索する
store,貯蔵する
analogy,類推
visual field,視野
autbiographical,自伝的な
information processing,情報処理
optical,視覚の
proactive,順向性の
retroactive,逆向性の
retina,網膜
retina image,網膜像
configuration,配置
intuition,直観
recollection,記憶
retention,保持
threshold,閾
apparent movement,仮現運動
binocular,両眼
monocular,単眼
binocular disparity,両眼視差
cone,錐体
declearative memory,宣言的記憶
deduction,演繹法
divergent thinking,拡散的思考
elaboration,精緻化
encode,符号化
episodic memory,エピソード記憶
heuristics,ヒューリスティックス
just noticeable differences,丁度可知差異
mental rotation,心的回転
nonsense syllable,無意味つづり
point of subjective equality,主観的等価点
procedural memory,手続き記憶
prospective memory,展望記憶
psychophysics,精神物理学
reconstruct,再構築する
rod,桿体
semantic memory,意味記憶
sensory memory,感覚記憶
size constancy,大きさの恒常性
autokinetic movement,自動運動
distal stimulus,遠刺激
proximal stimulus,近刺激
functional fixedness,機能的固着
induced motion,誘導運動
motion after effect,運動残効
pattern recognition,パターン認知
perceptual constancy,知覚の恒常性
subjective counter,主観的輪郭